"","region","site","date","start_time","end_time","capture_time","capture_loc","swab_id","correct_capture_time"
"1","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,"20:15:00",20:25:00,"40","121112_05",""
"2","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,"20:15:00",20:50:00,"60","121112_06",""
"3","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,"20:15:00",21:08:00,"67","121112_07",""
"4","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,"20:15:00",21:47:00,"150","121112_08",""
"5","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,"20:15:00",21:56:00,"160","121112_09",""
"6","Santa Fe","Altos de Piedra","11/13/2012",09:23:00,"10:15:00",10:30:00,"149",NA,""
"7","Santa Fe","Altos de Piedra","7/9/2013",10:01:00,"11:19:00",11:53:00,"77",NA,""
"8","Santa Fe","Altos de Piedra","12/15/2018",11:40:00,"13:39:00",13:59:00,"72","181215_J04",""
"9","Santa Fe","Altos de Piedra","12/15/2018",11:40:00,"13:39:00",14:01:00,"72","181215_J05",""
"10","Santa Fe","Altos de Piedra","8/1/2019",11:17:00,"14:30:00",15:35:00,"10","190801_04",""
"11","Santa Fe","Altos de Piedra","8/3/2019",20:04:00,"22:20:00",22:25:00,"159","190803_05",""
"12","Santa Fe","Altos de Piedra","12/7/2019",11:05:00,"13:32:00",13:34:00,"160",NA,""
"13","Altos de Campana","Campana loop","6/17/2013",20:45:00,"21:20:00",22:13:00,"80","130617_B03",""
"14","Santa Fe","Cerro Negro","7/11/2014",09:10:00,"10:33:00",12:55:00,"200","140711_03",""
"15","Santa Fe","Cerro Negro","7/12/2014",11:13:00,"14:35:00",14:43:00,"207","140712_R07",""
"16","Santa Fe","Cerro Negro","7/12/2014",11:13:00,"14:35:00",16:16:00,"60","140712_R08",""
"17","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:00:00,"85","150714_A01",""
"18","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A02",""
"19","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A03",""
"20","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A04",""
"21","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A05",""
"22","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A06",""
"23","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A07",""
"24","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A08",""
"25","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A09",""
"26","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A10",""
"27","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A11",""
"28","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A12",""
"29","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A13",""
"30","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A14",""
"31","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A15",""
"32","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A16",""
"33","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A17",""
"34","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A18",""
"35","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A19",""
"36","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A20",""
"37","Santa Fe","Cerro Negro","7/14/2015",09:13:00,"11:23:00",22:40:00,"140","150714_A21",""
"38","El Valle","Farallon","12/20/2013",15:35:00,"16:12:00",16:16:00,"15","131220_08",""
"39","El Valle","Farallon","5/13/2014",10:30:00,"13:30:00",14:40:00,"60","140513_R01",""
"40","El Valle","Farallon","5/13/2014",10:30:00,"13:30:00",14:43:00,"65","140513_R02",""
"41","El Valle","Farallon","5/14/2014",10:34:00,"13:50:00",14:05:00,"30","140514_R08",""
"42","El Valle","Jordinal","5/22/2014",15:35:00,"16:40:00",16:52:00,"194","140522_20",""
"43","El Valle","Jordinal","6/15/2015",09:27:00,"12:16:00",12:35:00,"10","150615_A06",""
"44","El Valle","Jordinal","6/15/2015",09:27:00,"11:15:00",11:29:00,"60","150615_J02",""
"45","El Valle","Jordinal","6/15/2015",09:27:00,"11:15:00",11:30:00,"55","150615_J03",""
"46","El Valle","Jordinal","6/15/2015",09:27:00,"11:15:00",11:32:00,"55","150615_J04",""
"47","El Valle","Jordinal","6/15/2015",09:27:00,"11:15:00",11:49:00,"55","150615_J05",""
"48","El Valle","Jordinal","6/15/2015",09:27:00,"11:15:00",12:38:00,"0","150615_J06",""
"49","El Cope","Juan Julio","6/29/2014",11:39:00,"15:55:00",16:00:00,"167","140629_A05",""
"50","El Valle","Mata Ahogado","12/18/2013",10:01:00,"11:00:00",11:34:00,"25","131218_09",""
"51","El Valle","Mata Ahogado","6/14/2015",15:22:00,"17:15:00",17:22:00,"85","150614_07",""
"52","El Valle","Mata Ahogado","12/12/2015",14:20:00,"17:15:00",17:28:00,"80","151212_A17",""
"53","El Valle","Mata Ahogado","12/12/2015",14:20:00,"17:15:00",17:46:00,"50","151212_A18",""
"54","El Valle","Mata Ahogado","12/15/2015",09:26:00,"10:38:00",10:40:00,"137","151215_G01",""
"55","El Cope","Medina","12/8/2013",08:41:00,"13:00:00",13:30:00,"148","131208_03",""
"56","El Cope","Medina","11/20/2016",09:35:00,"10:00:00",10:20:00,"120",NA,""
"57","Caribbean","Miguel de la Borda","7/15/2014",10:10:00,"11:17:00",11:25:00,"141","140715_02",""
"58","Caribbean","Miguel de la Borda","7/15/2014",10:10:00,"11:17:00",12:01:00,"60","140715_03",""
"59","Caribbean","Miguel de la Borda","7/15/2014",10:10:00,"11:17:00",12:02:00,"60","140715_04",""
"60","Caribbean","Miguel de la Borda","7/17/2014",09:36:00,"12:25:00",12:30:00,"110","140717_09",""
"61","Caribbean","Miguel de la Borda","7/17/2014",09:36:00,"12:25:00",12:32:00,"90","140717_10",""
"62","Altos de Campana","Rabbit Stream","5/24/2014",11:30:00,"15:15:00",15:17:00,"175","140524_10",""
"63","Altos de Campana","Rabbit Stream","5/24/2014",11:30:00,"15:15:00",15:43:00,"85","140524_11",""
"64","Altos de Campana","Rabbit Stream","5/24/2014",11:30:00,"15:15:00",15:44:00,"85","140524_12",""
"65","Altos de Campana","Rabbit Stream","5/27/2014",11:50:00,"14:45:00",15:45:00,"28","140527_07",""
"66","Altos de Campana","Rabbit Stream","5/27/2014",11:50:00,"14:45:00",16:40:00,"32","140527_08",""
"67","Altos de Campana","Rabbit Stream","5/27/2014",11:50:00,"14:45:00",17:00:00,"130","140527_09",""
"68","Altos de Campana","Rabbit Stream","5/27/2014",11:50:00,"14:45:00",17:00:00,"130","140527_10",""
"69","Altos de Campana","Rabbit Stream","5/27/2014",11:50:00,"14:45:00",17:25:00,"180","140527_11",""
"70","Altos de Campana","Rabbit Stream","6/3/2016",13:41:00,"17:05:00",17:54:00,"10","160603_A19",""
"71","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",15:30:00,"39","181130_08",""
"72","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",16:16:00,"115","181130_09",""
"73","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",16:19:00,"120","181130_10",""
"74","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",16:21:00,"119","181130_11",""
"75","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:05:00,"130","181130_12",""
"76","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:06:00,"131","181130_13",""
"77","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:07:00,"132","181130_14",""
"78","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:08:00,"133","181130_15",""
"79","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:09:00,"134","181130_16",""
"80","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:10:00,"135","181130_17",""
"81","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:11:00,"136","181130_18",""
"82","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:12:00,"137","181130_19",""
"83","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:13:00,"138","181130_20",""
"84","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",17:33:00,"140","181130_21",""
"85","Altos de Campana","Rabbit Stream","11/30/2018",14:10:00,"15:15:00",16:08:00,"100",NA,""
"86","El Cope","Rio Blanco","6/2/2013",09:30:00,"10:25:00",10:30:00,"27","130602_B01",""
"87","El Valle","Rio Maria","12/17/2013",14:14:00,"15:10:00",15:22:00,"102","131217_01",""
"88","El Valle","Rio Maria","12/18/2013",20:05:00,"21:53:00",22:40:00,"106","131218_17",""
"89","El Valle","Rio Maria","12/18/2013",20:05:00,"21:53:00",22:48:00,"113","131218_18",""
"90","El Valle","Rio Maria","12/18/2013",20:05:00,"21:53:00",22:56:00,"115","131218_19",""
"91","El Valle","Rio Maria","12/18/2013",20:05:00,"21:53:00",22:57:00,"115","131218_20",""
