salinity_moredetail,salinity_insertunits,swab_id,survey_id,region,site,date,detection_type,survey_time
NA,NA,130623_J01,113,Fortuna,Alleman,2013-06-23T00:00:00Z,capture,night
NA,NA,130623_J02,113,Fortuna,Alleman,2013-06-23T00:00:00Z,capture,night
NA,NA,NA,113,Fortuna,Alleman,2013-06-23T00:00:00Z,call,night
NA,NA,NA,112,Fortuna,Alleman,2013-06-23T00:00:00Z,NA,day
NA,NA,130624_J03,117,Fortuna,Alleman,2013-06-24T00:00:00Z,capture,night
NA,NA,NA,117,Fortuna,Alleman,2013-06-24T00:00:00Z,call,night
NA,NA,NA,116,Fortuna,Alleman,2013-06-24T00:00:00Z,NA,day
NA,NA,NA,120,Fortuna,Alleman,2013-06-25T00:00:00Z,NA,day
NA,NA,NA,288,Fortuna,Alleman,2014-07-06T00:00:00Z,NA,day
NA,NA,140707_01,292,Fortuna,Alleman,2014-07-07T00:00:00Z,capture,night
NA,NA,140707_02,292,Fortuna,Alleman,2014-07-07T00:00:00Z,capture,night
NA,NA,140707_03,292,Fortuna,Alleman,2014-07-07T00:00:00Z,capture,night
NA,NA,140707_04,292,Fortuna,Alleman,2014-07-07T00:00:00Z,capture,night
NA,NA,140707_05,292,Fortuna,Alleman,2014-07-07T00:00:00Z,capture,night
NA,NA,140707_06,292,Fortuna,Alleman,2014-07-07T00:00:00Z,capture,night
NA,NA,NA,291,Fortuna,Alleman,2014-07-07T00:00:00Z,NA,day
NA,NA,NA,299,Fortuna,Alleman,2014-07-08T00:00:00Z,NA,day
NA,NA,NA,437,Fortuna,Alleman,2015-12-08T00:00:00Z,NA,day
NA,NA,151209_J01,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J02,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J03,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J04,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J05,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J06,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J07,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,151209_J08,446,Fortuna,Alleman,2015-12-09T00:00:00Z,capture,night
NA,NA,NA,446,Fortuna,Alleman,2015-12-09T00:00:00Z,visual,night
NA,NA,NA,446,Fortuna,Alleman,2015-12-09T00:00:00Z,call,night
NA,NA,NA,447,Fortuna,Alleman,2015-12-09T00:00:00Z,NA,day
NA,NA,NA,446,Fortuna,Alleman,2015-12-09T00:00:00Z,call,night
NA,NA,NA,452,Fortuna,Alleman,2015-12-10T00:00:00Z,NA,day
NA,NA,160716_A07,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A08,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A09,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A10,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A11,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A12,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A13,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A14,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A15,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A16,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A17,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A18,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A19,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A20,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A21,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A22,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,160716_A23,616,Fortuna,Alleman,2016-07-16T00:00:00Z,capture,night
NA,NA,NA,616,Fortuna,Alleman,2016-07-16T00:00:00Z,visual,night
NA,NA,NA,616,Fortuna,Alleman,2016-07-16T00:00:00Z,visual,night
NA,NA,NA,615,Fortuna,Alleman,2016-07-16T00:00:00Z,NA,day
NA,NA,160717_A01,618,Fortuna,Alleman,2016-07-17T00:00:00Z,capture,day
NA,NA,160717_A02,618,Fortuna,Alleman,2016-07-17T00:00:00Z,capture,day
NA,NA,NA,621,Fortuna,Alleman,2016-07-18T00:00:00Z,NA,day
NA,NA,NA,664,Fortuna,Alleman,2017-12-11T00:00:00Z,call,day
NA,NA,NA,665,Fortuna,Alleman,2017-12-11T00:00:00Z,call,night
NA,NA,NA,665,Fortuna,Alleman,2017-12-11T00:00:00Z,visual,night
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,call,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,NA,728,Fortuna,Alleman,2018-12-13T00:00:00Z,visual,day
NA,NA,181214_I03,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I04,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I05,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I06,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I07,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I08,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I09,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I10,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,181214_I11,731,Fortuna,Alleman,2018-12-14T00:00:00Z,capture,night
NA,NA,NA,731,Fortuna,Alleman,2018-12-14T00:00:00Z,call,night
NA,NA,NA,731,Fortuna,Alleman,2018-12-14T00:00:00Z,call,night
NA,NA,NA,730,Fortuna,Alleman,2018-12-14T00:00:00Z,visual,day
NA,NA,NA,730,Fortuna,Alleman,2018-12-14T00:00:00Z,visual,day
NA,NA,NA,730,Fortuna,Alleman,2018-12-14T00:00:00Z,visual,day
NA,NA,NA,730,Fortuna,Alleman,2018-12-14T00:00:00Z,visual,day
NA,NA,NA,736,Fortuna,Alleman,2018-12-15T00:00:00Z,visual,day
NA,NA,NA,26,Santa Fe,Altos de Piedra,2012-11-11T00:00:00Z,call,day
NA,NA,121112_01,27,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,day
NA,NA,121112_02,27,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,day
NA,NA,121112_03,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,121112_04,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,121112_05,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,121112_06,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,121112_07,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,121112_08,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,121112_09,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,capture,night
NA,NA,NA,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,call,night
NA,NA,NA,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,call,night
NA,NA,NA,28,Santa Fe,Altos de Piedra,2012-11-12T00:00:00Z,visual,night
NA,NA,121113_01,29,Santa Fe,Altos de Piedra,2012-11-13T00:00:00Z,capture,day
NA,NA,121113_02,29,Santa Fe,Altos de Piedra,2012-11-13T00:00:00Z,capture,day
NA,NA,NA,29,Santa Fe,Altos de Piedra,2012-11-13T00:00:00Z,visual,day
NA,NA,130706_R01,136,Santa Fe,Altos de Piedra,2013-07-06T00:00:00Z,capture,day
NA,NA,NA,136,Santa Fe,Altos de Piedra,2013-07-06T00:00:00Z,visual,day
NA,NA,NA,136,Santa Fe,Altos de Piedra,2013-07-06T00:00:00Z,visual,day
NA,NA,NA,136,Santa Fe,Altos de Piedra,2013-07-06T00:00:00Z,visual,day
NA,NA,130707_R01,138,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,day
NA,NA,130707_R02,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R03,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R04,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R05,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R06,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R07,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R08,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,130707_R09,139,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,capture,night
NA,NA,NA,138,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,visual,day
NA,NA,NA,138,Santa Fe,Altos de Piedra,2013-07-07T00:00:00Z,visual,day
NA,NA,130708_R01,143,Santa Fe,Altos de Piedra,2013-07-08T00:00:00Z,capture,night
NA,NA,130708_R02,143,Santa Fe,Altos de Piedra,2013-07-08T00:00:00Z,capture,night
NA,NA,130708_R03,143,Santa Fe,Altos de Piedra,2013-07-08T00:00:00Z,capture,night
NA,NA,130708_R04,143,Santa Fe,Altos de Piedra,2013-07-08T00:00:00Z,capture,night
