region,site,date,detection_type,survey_time,conductivity,correct_conductivity
Fortuna,Alleman,12/8/2015,NA,day,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,capture,night,1070,
Fortuna,Alleman,12/9/2015,visual,night,1070,
Fortuna,Alleman,12/9/2015,call,night,1070,
Fortuna,Alleman,12/9/2015,NA,day,1070,
Fortuna,Alleman,12/9/2015,call,night,1070,
Fortuna,Alleman,12/10/2015,NA,day,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1070,
Fortuna,Alleman,7/16/2016,capture,night,1040,
Fortuna,Alleman,7/16/2016,capture,night,1040,
Fortuna,Alleman,7/16/2016,capture,night,1040,
Fortuna,Alleman,7/16/2016,capture,night,935,
Fortuna,Alleman,7/16/2016,capture,night,935,
Fortuna,Alleman,7/16/2016,capture,night,906,
Fortuna,Alleman,7/16/2016,capture,night,906,
Fortuna,Alleman,7/16/2016,capture,night,766,
Fortuna,Alleman,7/16/2016,capture,night,766,
Fortuna,Alleman,7/16/2016,capture,night,766,
Fortuna,Alleman,7/16/2016,visual,night,766,
Fortuna,Alleman,7/16/2016,visual,night,766,
Fortuna,Alleman,7/17/2016,capture,day,766,
Fortuna,Alleman,7/17/2016,capture,day,766,
Fortuna,Alleman,7/18/2016,NA,day,766,
Fortuna,Alleman,12/13/2018,call,day,766,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/13/2018,visual,day,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,capture,night,600,
Fortuna,Alleman,12/14/2018,call,night,500,
Fortuna,Alleman,12/14/2018,call,night,500,
Fortuna,Alleman,12/14/2018,visual,day,500,
Fortuna,Alleman,12/14/2018,visual,day,500,
Fortuna,Alleman,12/14/2018,visual,day,500,
Fortuna,Alleman,12/14/2018,visual,day,500,
Fortuna,Alleman,12/15/2018,visual,day,500,
Santa Fe,Altos de Piedra,7/6/2014,capture,day,500,
Santa Fe,Altos de Piedra,7/6/2014,capture,day,500,
Santa Fe,Altos de Piedra,7/6/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/6/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,day,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,night,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,night,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,night,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,night,493,
Santa Fe,Altos de Piedra,7/7/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/7/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,capture,night,400,
Santa Fe,Altos de Piedra,7/8/2014,NA,day,400,
Santa Fe,Altos de Piedra,7/16/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/16/2014,capture,day,400,
Santa Fe,Altos de Piedra,7/10/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/10/2015,call,day,400,
Santa Fe,Altos de Piedra,7/10/2015,visual,day,400,
Santa Fe,Altos de Piedra,7/10/2015,visual,day,400,
Santa Fe,Altos de Piedra,7/10/2015,visual,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,400,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,376,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,376,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,376,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,376,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,376,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,376,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,370.6,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,370.6,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,370.6,
Santa Fe,Altos de Piedra,7/11/2015,capture,day,370.6,
