dissolved_o2_percent,swab_id,survey_id,region,site,date,detection_type,survey_time,correct_o2
101.7,150710_01,400,Santa Fe,Altos de Piedra,2015-07-10T00:00:00Z,capture,day,
101.7,NA,400,Santa Fe,Altos de Piedra,2015-07-10T00:00:00Z,call,day,
101.7,NA,400,Santa Fe,Altos de Piedra,2015-07-10T00:00:00Z,visual,day,
101.7,NA,400,Santa Fe,Altos de Piedra,2015-07-10T00:00:00Z,visual,day,
101.7,NA,400,Santa Fe,Altos de Piedra,2015-07-10T00:00:00Z,visual,day,
102.6,150711_01,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_02,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_03,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_04,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_05,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_06,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_07,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_08,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_09,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_10,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_11,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_12,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_13,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_14,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_15,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_16,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_17,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_18,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_19,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_20,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
102.6,150711_21,401,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,day,
101.7,150711_22,402,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,night,
101.7,150711_23,402,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,night,
101.7,150711_24,402,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,night,
101.7,150711_25,402,Santa Fe,Altos de Piedra,2015-07-11T00:00:00Z,capture,night,
