"","region","site","date","start_time","end_time","capture_time","swab_id","correct_capture_time"
"1","Fortuna","Alleman","12/14/2018",19:30:00,22:03:00,17:30:00,NA,""
"2","Fortuna","Alleman","12/14/2018",10:46:00,11:58:00,01:10:00,NA,""
"3","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,20:15:00,09:30:00,NA,""
"4","Santa Fe","Altos de Piedra","11/13/2012",09:23:00,10:15:00,08:55:00,"121113_01",""
"5","Santa Fe","Altos de Piedra","7/7/2013",11:31:00,13:02:00,11:20:00,"130707_R01",""
"6","Santa Fe","Altos de Piedra","7/7/2013",19:47:00,21:11:00,19:06:00,"130707_R02",""
"7","Santa Fe","Altos de Piedra","7/7/2013",19:47:00,21:11:00,19:25:00,"130707_R03",""
"8","Santa Fe","Altos de Piedra","7/7/2013",19:47:00,21:11:00,19:25:00,"130707_R04",""
"9","Santa Fe","Altos de Piedra","7/6/2014",13:30:00,16:30:00,13:10:00,"140706_R01",""
"10","Santa Fe","Altos de Piedra","7/7/2014",11:30:00,14:25:00,09:30:00,"140707_R01",""
"11","Santa Fe","Altos de Piedra","7/7/2014",11:30:00,14:25:00,10:40:00,"140707_R02",""
"12","Santa Fe","Altos de Piedra","7/8/2014",19:15:00,22:35:00,19:00:00,"140708_R10",""
"13","Santa Fe","Altos de Piedra","7/9/2016",20:35:00,22:35:00,19:57:00,"160709_A09",""
"14","Santa Fe","Altos de Piedra","7/9/2016",20:35:00,22:35:00,20:08:00,"160709_A10",""
"15","Santa Fe","Altos de Piedra","7/9/2016",20:35:00,22:35:00,20:09:00,"160709_A11",""
"16","Santa Fe","Altos de Piedra","7/9/2016",20:35:00,22:35:00,20:15:00,"160709_A12",""
"17","Santa Fe","Altos de Piedra","7/9/2016",20:25:00,01:00:00,19:58:00,"160709_G03",""
"18","Santa Fe","Altos de Piedra","7/9/2016",20:25:00,01:00:00,19:59:00,"160709_G04",""
"19","Santa Fe","Altos de Piedra","7/9/2016",20:25:00,01:00:00,00:51:00,"160709_G20",""
"20","Santa Fe","Altos de Piedra","7/10/2016",10:48:00,13:10:00,10:27:00,"160710_A01",""
"21","Santa Fe","Altos de Piedra","7/11/2016",10:47:00,12:08:00,09:48:00,"160711_A01",""
"22","Santa Fe","Altos de Piedra","7/11/2016",10:47:00,12:08:00,10:02:00,"160711_A02",""
"23","Santa Fe","Altos de Piedra","7/11/2016",10:47:00,12:08:00,10:00:00,"160711_A03",""
"24","Santa Fe","Altos de Piedra","7/11/2016",10:47:00,12:08:00,10:23:00,"160711_A04",""
"25","Santa Fe","Altos de Piedra","7/11/2016",10:47:00,12:08:00,10:25:00,"160711_A05",""
"26","Santa Fe","Altos de Piedra","7/11/2016",10:47:00,12:08:00,10:25:00,"160711_A06",""
"27","Santa Fe","Altos de Piedra","12/14/2018",10:10:00,13:32:00,09:50:00,"181214_J01",""
"28","Santa Fe","Altos de Piedra","12/14/2018",20:05:00,23:37:00,19:44:00,"181214_J05",""
"29","Santa Fe","Altos de Piedra","12/14/2018",20:05:00,23:37:00,19:50:00,"181214_J06",""
"30","Santa Fe","Altos de Piedra","12/14/2018",20:05:00,23:37:00,19:55:00,"181214_J07",""
"31","Santa Fe","Altos de Piedra","8/2/2019",10:35:00,13:18:00,10:28:00,NA,""
"32","Altos de Campana","Campana loop","6/13/2013",13:40:00,14:59:00,13:21:00,"130613_A01",""
"33","Altos de Campana","Campana loop","12/3/2015",11:30:00,13:30:00,01:00:00,"151203_04",""
"34","Altos de Campana","Campana loop","12/3/2015",11:30:00,13:30:00,01:25:00,"151203_05",""
"35","Santa Fe","Cerro Negro","11/8/2012",11:40:00,13:30:00,11:30:00,"121108_03",""
"36","Santa Fe","Cerro Negro","7/6/2013",20:18:00,21:48:00,15:30:00,"130706_A06",""
"37","Santa Fe","Cerro Negro","7/11/2014",09:20:00,15:45:00,09:00:00,"140711_A01",""
"38","Santa Fe","Cerro Negro","7/12/2014",11:14:00,16:30:00,10:05:00,"140712_A02",""
"39","Santa Fe","Cerro Negro","7/12/2014",11:14:00,16:30:00,10:21:00,"140712_A03",""
"40","Santa Fe","Cerro Negro","7/13/2015",14:56:00,16:11:00,12:00:00,"150713_01",""
"41","Santa Fe","Cerro Negro","12/7/2015",14:40:00,16:50:00,14:00:00,"151207_J01",""
"42","Santa Fe","Cerro Negro","7/12/2016",15:30:00,18:00:00,15:07:00,"160712_G01",""
"43","Santa Fe","Cerro Negro","7/14/2016",09:02:00,11:45:00,08:38:00,"160714_A01",""
"44","Santa Fe","Cerro Negro","7/14/2016",09:02:00,11:45:00,08:49:00,"160714_A02",""
"45","Caribbean","Cuatro Callitas","6/24/2013",20:25:00,22:55:00,19:57:00,"130624_A04",""
"46","Fortuna","Fortuna loop","12/14/2018",22:41:00,NA,00:41:00,"181214_I14",""
"47","Fortuna","Fortuna loop","12/14/2018",22:41:00,NA,00:55:00,"181214_I15",""
"48","Fortuna","Fortuna loop","12/14/2018",22:41:00,NA,00:23:00,NA,""
"49","Fortuna","Fortuna loop","12/14/2018",22:41:00,NA,00:23:00,NA,""
"50","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,01:20:00,"151216_A05",""
"51","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,01:35:00,"151216_A06",""
"52","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,02:16:00,"151216_A07",""
"53","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:00:00,"151216_A08",""
"54","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:02:00,"151216_A09",""
"55","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:05:00,"151216_A10",""
"56","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:06:00,"151216_A11",""
"57","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:20:00,"151216_A12",""
"58","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:50:00,"151216_A13",""
"59","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:53:00,"151216_A14",""
"60","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,03:55:00,"151216_A15",""
"61","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,04:40:00,"151216_A16",""
"62","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,04:35:00,"151216_A17",""
"63","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,04:36:00,"151216_A18",""
"64","El Cope","Guabal","12/16/2015",13:20:00,16:40:00,05:45:00,"151216_A19",""
"65","El Cope","Guabal","6/23/2016",14:54:00,16:13:00,14:11:00,"160623_A12",""
"66","El Cope","Guabal","6/23/2016",14:54:00,16:13:00,14:11:00,"160623_A13",""
"67","El Cope","Guabal","6/23/2016",14:54:00,16:13:00,14:26:00,"160623_A14",""
"68","El Cope","Guabal","6/23/2016",14:54:00,16:13:00,14:28:00,"160623_A15",""
"69","El Cope","Guabal","6/23/2016",14:54:00,16:13:00,14:30:00,"160623_A16",""
"70","El Cope","Guabal","6/24/2016",20:30:00,00:35:00,19:47:00,"160624_G15",""
"71","El Cope","Guabal","6/24/2016",20:30:00,00:35:00,19:47:00,"160624_G16",""
"72","El Cope","Guabal","6/25/2016",14:47:00,16:53:00,14:10:00,"160625_A09",""
"73","El Cope","Guabal","6/25/2016",14:47:00,16:53:00,14:12:00,"160625_A10",""
"74","El Cope","Guabal","11/9/2018",14:18:00,16:32:00,13:32:00,"181109_02",""
"75","El Cope","Guabal","11/9/2018",14:18:00,16:32:00,13:51:00,"181109_03",""
"76","El Cope","Guabal","11/9/2018",14:18:00,16:32:00,13:52:00,"181109_04",""
"77","El Cope","Guabal","11/9/2018",14:18:00,16:32:00,14:14:00,"181109_05",""
"78","El Cope","Guabal","11/10/2018",10:41:00,12:40:00,10:10:00,"181110_01",""
"79","El Cope","Guabal","11/11/2018",12:50:00,14:28:00,12:17:00,"181111_01",""
"80","El Cope","Guabal","11/11/2018",12:50:00,14:28:00,12:35:00,"181111_02",""
"81","El Cope","Guabal","8/8/2019",15:56:00,NA,15:11:00,"190808_J01",""
"82","El Cope","Guabal","8/8/2019",22:34:00,NA,20:54:00,"190808_K06",""
"83","El Cope","Guabal","8/8/2019",22:34:00,NA,21:19:00,"190808_K07",""
"84","El Cope","Guabal","8/8/2019",22:34:00,NA,21:27:00,"190808_K08",""
"85","El Cope","Guabal","8/8/2019",22:34:00,NA,21:45:00,"190808_K10",""
"86","El Cope","Guabal","8/8/2019",22:34:00,NA,22:07:00,"190808_K11",""
"87","El Cope","Guabal","8/8/2019",22:34:00,NA,22:21:00,"190808_K12",""
"88","El Cope","Guabal","8/8/2019",22:34:00,NA,00:00:00,"190808_K19",""
"89","El Cope","Guabal","12/10/2019",11:03:00,12:15:00,10:41:00,"191210_01",""
"90","El Valle","Hotel Campestre","12/13/2017",23:39:00,00:30:00,00:20:00,"171213_04",""
"91","El Valle","Hotel Campestre","8/12/2019",21:38:00,NA,21:15:00,"190812_04",""
"92","El Valle","Hotel Campestre","8/12/2019",21:38:00,NA,21:15:00,"190812_05",""
"93","El Valle","Jordinal","10/27/2012",11:40:00,13:00:00,11:30:00,NA,""
"94","El Valle","Jordinal","5/21/2014",11:00:00,13:45:00,10:45:00,"140521_01",""
"95","El Valle","Jordinal","6/16/2015",12:30:00,14:13:00,12:27:00,"150616_A03",""
"96","El Valle","Jordinal","6/17/2015",14:16:00,16:10:00,14:07:00,"150617_01",""
"97","El Valle","Jordinal","6/6/2016",10:50:00,13:20:00,10:20:00,"160606_G01",""
"98","El Valle","Jordinal","6/6/2016",13:40:00,NA,13:30:00,"160606_G11",""
"99","El Valle","Jordinal","6/7/2016",12:50:00,14:55:00,12:48:00,"160607_G05",""
"100","El Valle","Jordinal","6/8/2016",09:52:00,12:07:00,09:50:00,"160608_A01",""
"101","El Cope","Juan Julio","6/28/2014",23:05:00,01:46:00,00:09:00,"140628_19",""
"102","El Cope","Juan Julio","6/28/2014",23:05:00,01:46:00,00:09:00,"140628_20",""
"103","El Cope","Juan Julio","6/28/2014",23:05:00,01:46:00,01:01:00,"140628_21",""
"104","El Cope","Juan Julio","6/28/2014",23:05:00,01:46:00,01:25:00,"140628_22",""
"105","El Cope","Juan Julio","6/28/2014",23:05:00,01:46:00,01:28:00,"140628_23",""
"106","El Valle","Juan Lana","6/21/2016",10:33:00,13:30:00,09:38:00,"160621_A01",""
"107","El Cope","Las Yayas","6/24/2014",21:26:00,23:45:00,00:00:00,"140624_01",""
"108","El Cope","Las Yayas","6/24/2014",21:26:00,23:45:00,00:00:00,"140624_02",""
"109","El Cope","Las Yayas","6/24/2014",21:26:00,23:45:00,00:00:00,"140624_03",""
"110","El Cope","Las Yayas","6/26/2014",15:35:00,18:07:00,04:20:00,"140626_05",""
"111","El Cope","Las Yayas","6/26/2014",15:35:00,18:07:00,04:21:00,"140626_06",""
"112","El Cope","Las Yayas","6/26/2014",15:35:00,18:07:00,04:25:00,"140626_07",""
"113","El Cope","Las Yayas","6/26/2014",15:35:00,18:07:00,04:30:00,"140626_08",""
"114","El Cope","Las Yayas","12/12/2014",23:10:00,23:20:00,23:05:00,"141212_04",""
"115","El Valle","Mata Ahogado","12/18/2013",10:01:00,11:00:00,09:55:00,"131218_01",""
"116","El Valle","Mata Ahogado","12/18/2013",10:01:00,11:00:00,09:56:00,"131218_02",""
"117","El Valle","Mata Ahogado","12/18/2013",10:01:00,11:00:00,09:56:00,"131218_03",""
"118","El Valle","Mata Ahogado","12/18/2013",10:01:00,11:00:00,09:56:00,"131218_04",""
"119","El Valle","Mata Ahogado","12/18/2013",10:01:00,11:00:00,09:58:00,"131218_05",""
"120","El Valle","Mata Ahogado","12/20/2013",10:32:00,12:46:00,10:31:00,"131220_01",""
"121","El Valle","Mata Ahogado","6/13/2015",09:15:00,11:41:00,09:08:00,"150613_01",""
"122","El Valle","Mata Ahogado","6/14/2015",19:17:00,20:39:00,19:04:00,"150614_08",""
"123","El Valle","Mata Ahogado","12/4/2018",16:11:00,17:25:00,16:00:00,NA,""
"124","El Valle","Mata Ahogado","12/4/2018",16:11:00,17:25:00,15:10:00,NA,""
"125","El Valle","Mata Ahogado","12/6/2018",15:02:00,18:20:00,14:38:00,"181206_01",""
"126","El Valle","Mata Ahogado","12/6/2018",15:02:00,18:20:00,15:01:00,"181206_02",""
"127","El Cope","Medina","12/13/2013",23:58:00,00:55:00,00:01:00,"131213_19",""
"128","El Cope","Medina","12/13/2013",23:58:00,00:55:00,00:18:00,"131213_20",""
"129","El Cope","Medina","12/13/2013",23:58:00,00:55:00,00:19:00,"131213_21",""
"130","El Cope","Medina","12/13/2013",23:58:00,00:55:00,00:21:00,"131213_22",""
"131","El Cope","Medina","12/13/2013",23:58:00,00:55:00,00:44:00,"131213_23",""
"132","Caribbean","Miguel de la Borda","7/16/2014",14:40:00,17:17:00,14:30:00,"140716_01",""
"133","Caribbean","Miguel de la Borda","7/17/2014",09:36:00,12:25:00,09:35:00,"140717_01",""
"134","Caribbean","Miguel de la Borda","7/26/2016",15:07:00,17:55:00,14:50:00,"160726_A01",""
"135","Caribbean","Miguel de la Borda","7/27/2016",09:17:00,12:47:00,08:45:00,"160727_A01",""
"136","Caribbean","Miguel de la Borda","7/27/2016",09:17:00,12:47:00,09:02:00,"160727_A02",""
"137","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,19:28:00,"160727_A17",""
"138","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,19:36:00,"160727_A18",""
"139","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,19:47:00,"160727_A19",""
"140","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,19:56:00,"160727_A20",""
"141","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,19:58:00,"160727_A21",""
"142","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,20:18:00,"160727_A22",""
"143","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,23:31:00,00:15:00,"160727_A38",""
