salinity_insertunits,swab_id,survey_id,region,site,date,detection_type,survey_time,correct_salinity
685.8,NA,161,El Valle,Jordinal,2013-07-14T00:00:00Z,NA,day,
683.5,NA,164,El Valle,Jordinal,2013-07-15T00:00:00Z,NA,day,
0.183,141218_01,336,El Valle,Mata Ahogado,2014-12-18T00:00:00Z,capture,day,
0.183,141218_02,336,El Valle,Mata Ahogado,2014-12-18T00:00:00Z,capture,day,
0.183,141218_03,336,El Valle,Mata Ahogado,2014-12-18T00:00:00Z,capture,day,
0.183,141218_04,336,El Valle,Mata Ahogado,2014-12-18T00:00:00Z,capture,day,
0.183,141218_05,336,El Valle,Mata Ahogado,2014-12-18T00:00:00Z,capture,day,
0.183,141218_06,336,El Valle,Mata Ahogado,2014-12-18T00:00:00Z,capture,day,
40,131213_04,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_05,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_06,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_07,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_08,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_09,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_10,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_11,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_12,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_13,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_14,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_15,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_16,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_17,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
40,131213_18,185,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
70,131213_19,182,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
70,131213_20,182,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
70,131213_21,182,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
70,131213_22,182,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
70,131213_23,182,El Cope,Medina,2013-12-13T00:00:00Z,capture,night,
70,NA,183,El Cope,Medina,2013-12-13T00:00:00Z,call,day,
40,NA,184,El Cope,Medina,2013-12-13T00:00:00Z,call,day,
0.108,140602_01,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_02,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_03,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_04,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_05,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_06,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_07,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.108,140602_08,242,El Cope,Medina,2014-06-02T00:00:00Z,capture,day,
0.109,140603_01,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_02,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_03,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_04,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_05,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_06,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_07,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.109,140603_08,243,El Cope,Medina,2014-06-03T00:00:00Z,capture,day,
0.184,141219_01,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,capture,day,
0.184,141219_02,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,capture,day,
0.184,141219_03,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,capture,day,
0.184,141219_04,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,capture,day,
0.184,141219_05,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,capture,day,
0.184,141219_06,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,capture,day,
0.184,NA,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,call,day,
0.184,NA,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,visual,day,
0.184,NA,338,Altos de Campana,Rabbit Stream,2014-12-19T00:00:00Z,call,day,
0.15,141220_05,340,Altos de Campana,Rabbit Stream,2014-12-20T00:00:00Z,capture,day,
0.15,141220_06,340,Altos de Campana,Rabbit Stream,2014-12-20T00:00:00Z,capture,day,
0.15,141220_07,340,Altos de Campana,Rabbit Stream,2014-12-20T00:00:00Z,capture,day,
0.15,141220_08,340,Altos de Campana,Rabbit Stream,2014-12-20T00:00:00Z,capture,day,
0.15,141220_09,340,Altos de Campana,Rabbit Stream,2014-12-20T00:00:00Z,capture,day,
683.2,130713_R01,160,El Valle,Rio Maria,2013-07-13T00:00:00Z,capture,day,
684,NA,159,El Valle,Rio Maria,2013-07-13T00:00:00Z,NA,day,
