region,site,date,start_time,end_time,capture_time,species,swab_id,correct_species
Fortuna,Alleman,7/7/2014,20:02:00,21:47:00,20:26:00,unknown species,140707_01,
Fortuna,Alleman,7/7/2014,20:02:00,21:47:00,20:28:00,unknown species,140707_02,
Fortuna,Alleman,7/7/2014,20:02:00,21:47:00,20:55:00,unknown species,140707_03,
Fortuna,Alleman,7/7/2014,20:02:00,21:47:00,21:20:00,unknown species,140707_04,
Fortuna,Alleman,7/7/2014,20:02:00,21:47:00,21:20:00,unknown species,140707_05,
Fortuna,Alleman,7/7/2014,20:02:00,21:47:00,21:41:00,unknown species,140707_06,
Fortuna,Alleman,12/11/2017,20:50:00,22:00:00,NA,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:10:00,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:13:00,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:36:00,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:51:00,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:11:00,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:25:00,unknown species,NA,
Fortuna,Alleman,12/13/2018,16:34:00,17:57:00,17:04:00,unknown species,NA,
Fortuna,Alleman,12/14/2018,10:46:00,11:58:00,11:34:00,unknown species,NA,
Fortuna,Alleman,12/14/2018,10:46:00,11:58:00,11:42:00,unknown species,NA,
Fortuna,Alleman,12/14/2018,10:46:00,11:58:00,01:10:00,unknown species,NA,
Fortuna,Alleman,12/14/2018,10:46:00,11:58:00,11:45:00,unknown species,NA,
Santa Fe,Altos de Piedra,11/13/2012,09:23:00,10:15:00,10:30:00,unknown species,NA,
Santa Fe,Altos de Piedra,7/6/2013,15:03:00,16:22:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/6/2013,15:03:00,16:22:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/6/2013,15:03:00,16:22:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/7/2013,11:31:00,13:02:00,12:15:00,unknown species,NA,
Santa Fe,Altos de Piedra,7/7/2013,11:31:00,13:02:00,12:00:00,unknown species,NA,
Santa Fe,Altos de Piedra,7/9/2013,10:01:00,11:19:00,11:53:00,unknown species,NA,
Santa Fe,Altos de Piedra,7/10/2015,15:45:00,16:49:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/10/2015,15:45:00,16:49:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/10/2015,15:45:00,16:49:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_02,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_03,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_04,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_05,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_06,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_07,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_08,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_09,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_10,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_11,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_12,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_13,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_14,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_15,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_16,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_17,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_18,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_19,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_20,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,150711_21,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/11/2015,12:51:00,15:41:00,NA,unknown species,NA,
Santa Fe,Altos de Piedra,7/11/2015,21:00:00,23:10:00,21:40:00,unknown species,NA,
Santa Fe,Altos de Piedra,7/9/2016,10:50:00,13:50:00,12:22:00,unknown species,160709_A01,
Santa Fe,Altos de Piedra,7/9/2016,10:50:00,13:50:00,12:25:00,unknown species,160709_A02,
Santa Fe,Altos de Piedra,7/9/2016,10:50:00,13:50:00,14:30:00,unknown species,160709_A08,
Santa Fe,Altos de Piedra,7/9/2016,10:50:00,14:15:00,12:35:00,unknown species,160709_G01,
Santa Fe,Altos de Piedra,7/9/2016,20:25:00,01:00:00,19:59:00,unknown species,160709_G04,
Santa Fe,Altos de Piedra,7/9/2016,20:25:00,01:00:00,23:22:00,unknown species,160709_G15,
Santa Fe,Altos de Piedra,7/10/2016,10:48:00,13:10:00,12:52:00,unknown species,160710_A05,
Santa Fe,Altos de Piedra,7/10/2016,10:48:00,13:10:00,12:52:00,unknown species,160710_A06,
Santa Fe,Altos de Piedra,7/11/2016,10:47:00,12:08:00,09:48:00,unknown species,160711_A01,
Santa Fe,Altos de Piedra,7/11/2016,10:47:00,12:08:00,10:00:00,unknown species,160711_A03,
Santa Fe,Altos de Piedra,7/11/2016,10:47:00,12:08:00,10:23:00,unknown species,160711_A04,
Santa Fe,Altos de Piedra,7/11/2016,10:47:00,12:08:00,12:04:00,unknown species,160711_A09,
Santa Fe,Altos de Piedra,7/11/2016,09:50:00,12:45:00,10:13:00,unknown species,160711_G01,
Santa Fe,Altos de Piedra,7/11/2016,09:50:00,12:45:00,10:15:00,unknown species,160711_G02,
Santa Fe,Altos de Piedra,7/11/2016,09:50:00,12:45:00,10:16:00,unknown species,160711_G03,
Santa Fe,Altos de Piedra,7/11/2016,09:50:00,12:45:00,11:10:00,unknown species,160711_G04,
Santa Fe,Altos de Piedra,7/11/2016,09:50:00,12:45:00,11:10:00,unknown species,160711_G05,
