swab_id,svl_mm,date,survey_id,detection_type,correct_svl
190731_01,4.35,2019-07-31T00:00:00Z,744,capture,
190731_02,1.65,2019-07-31T00:00:00Z,744,capture,
190801_01,4.7,2019-08-01T00:00:00Z,745,capture,
190801_02,3.8,2019-08-01T00:00:00Z,745,capture,
130613_A01,5.9,2013-06-13T00:00:00Z,94,capture,
130613_A03,7.7,2013-06-13T00:00:00Z,94,capture,
130613_A05,5.15,2013-06-13T00:00:00Z,94,capture,
130613_A06,9.4,2013-06-13T00:00:00Z,94,capture,
130617_M01,6.3,2013-06-17T00:00:00Z,101,capture,
160601_A01,10,2016-06-01T00:00:00Z,509,capture,
160602_A01,9,2016-06-02T00:00:00Z,512,capture,
160602_A03,9.2,2016-06-02T00:00:00Z,512,capture,
140712_R04,10,2014-07-12T00:00:00Z,309,capture,
140712_R06,10,2014-07-12T00:00:00Z,309,capture,
121030_01,7.6,2012-10-30T00:00:00Z,16,capture,
121030_02,8.7,2012-10-30T00:00:00Z,16,capture,
121030_03,8.2,2012-10-30T00:00:00Z,16,capture,
121030_04,7.6,2012-10-30T00:00:00Z,16,capture,
121030_05,8.6,2012-10-30T00:00:00Z,16,capture,
121030_06,6.9,2012-10-30T00:00:00Z,16,capture,
121030_08,6.9,2012-10-30T00:00:00Z,16,capture,
121030_09,9.5,2012-10-30T00:00:00Z,16,capture,
121030_10,7.3,2012-10-30T00:00:00Z,16,capture,
121030_11,8.5,2012-10-30T00:00:00Z,16,capture,
121030_12,7.8,2012-10-30T00:00:00Z,16,capture,
121030_13,9.1,2012-10-30T00:00:00Z,16,capture,
121030_14,7.6,2012-10-30T00:00:00Z,16,capture,
121030_15,6.6,2012-10-30T00:00:00Z,16,capture,
121030_16,7.8,2012-10-30T00:00:00Z,16,capture,
121030_17,8.5,2012-10-30T00:00:00Z,16,capture,
121030_18,9.1,2012-10-30T00:00:00Z,16,capture,
121030_19,7.8,2012-10-30T00:00:00Z,16,capture,
121030_20,7.6,2012-10-30T00:00:00Z,16,capture,
121030_21,7.2,2012-10-30T00:00:00Z,16,capture,
121030_22,6.3,2012-10-30T00:00:00Z,16,capture,
121030_24,8.8,2012-10-30T00:00:00Z,16,capture,
121030_27,8.1,2012-10-30T00:00:00Z,16,capture,
121030_28,8.2,2012-10-30T00:00:00Z,16,capture,
121030_29,9.2,2012-10-30T00:00:00Z,16,capture,
121030_30,8.5,2012-10-30T00:00:00Z,16,capture,
121030_33,9.6,2012-10-30T00:00:00Z,16,capture,
121030_35,6.7,2012-10-30T00:00:00Z,16,capture,
121030_36,7.4,2012-10-30T00:00:00Z,16,capture,
121101_01,9.5,2012-11-01T00:00:00Z,20,capture,
121101_02,9.2,2012-11-01T00:00:00Z,20,capture,
121101_03,9.1,2012-11-01T00:00:00Z,20,capture,
121101_04,8.5,2012-11-01T00:00:00Z,20,capture,
121101_05,9.4,2012-11-01T00:00:00Z,20,capture,
121101_07,8.4,2012-11-01T00:00:00Z,20,capture,
121101_09,9.6,2012-11-01T00:00:00Z,20,capture,
121101_10,8,2012-11-01T00:00:00Z,20,capture,
121101_12,8.8,2012-11-01T00:00:00Z,20,capture,
121101_13,8.1,2012-11-01T00:00:00Z,20,capture,
121101_14,8.9,2012-11-01T00:00:00Z,20,capture,
121101_15,9.3,2012-11-01T00:00:00Z,20,capture,
121101_16,8.2,2012-11-01T00:00:00Z,20,capture,
121101_17,9.3,2012-11-01T00:00:00Z,20,capture,
121101_18,6.5,2012-11-01T00:00:00Z,20,capture,
121101_19,8.9,2012-11-01T00:00:00Z,20,capture,
121101_20,8,2012-11-01T00:00:00Z,20,capture,
